,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES
MMM,1.0,0.9582388982589958,0.945738613766577,0.9774832837125544,0.9475893581610915,0.9217318644053375,0.950879849525524,-0.3776006104376411,0.866713717839417,-0.26229228345738603
ABT,0.9582388982589958,1.0,0.9421794732617866,0.9660468340447821,0.898958170183853,0.9004830286821532,0.8987546640845039,-0.47198387885317555,0.8947456518724899,-0.22667601147780356
ABBV,0.945738613766577,0.9421794732617866,1.0,0.8960100066940523,0.8734991156089479,0.5370755764735419,0.9317047424928014,0.6577881535914988,0.22140693879177203,-0.07885991582719609
ACN,0.9774832837125544,0.9660468340447821,0.8960100066940523,1.0,0.9397301582350818,0.936134414728276,0.9357851163593349,-0.3490929123895765,0.8894469378031639,0.02233714032402816
ATVI,0.9475893581610915,0.898958170183853,0.8734991156089479,0.9397301582350818,1.0,0.8641007653544989,0.9714995504921481,-0.31882516337649813,0.7484671959326022,-0.2217822218787694
AYI,0.9217318644053375,0.9004830286821532,0.5370755764735419,0.936134414728276,0.8641007653544989,1.0,0.8641110354359651,-0.3363234428512201,0.9393793454594834,0.09738768224155477
ADBE,0.950879849525524,0.8987546640845039,0.9317047424928014,0.9357851163593349,0.9714995504921481,0.8641110354359651,1.0,-0.19632872126313297,0.7585916849215993,-0.09575302318671079
AMD,-0.3776006104376411,-0.47198387885317555,0.6577881535914988,-0.3490929123895765,-0.31882516337649813,-0.3363234428512201,-0.19632872126313297,1.0,-0.4165829583257338,0.606229587314073
AAP,0.866713717839417,0.8947456518724899,0.22140693879177203,0.8894469378031639,0.7484671959326022,0.9393793454594834,0.7585916849215993,-0.4165829583257338,1.0,0.09435659065591671
AES,-0.26229228345738603,-0.22667601147780356,-0.07885991582719609,0.02233714032402816,-0.2217822218787694,0.09738768224155477,-0.09575302318671079,0.606229587314073,0.09435659065591671,1.0
